COURSECODE,COURSENAME,REPDAY,STARTHOUR,STARTMIN,ENDHOUR,ENDMIN,LOCATION,NEWNAME
CIVE11025,Mechanics of Repairing and Strengthening Structures 5,Thursday,14,10,16,00,Kings Buildings,
CIVE11025,Mechanics of Repairing and Strengthening Structures 5,Thursday,16,10,17,00,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Tuesday,09,00,09,50,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Monday,09,00,09,50,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Thursday,09,00,09,50,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Friday,09,00,09,50,No Location Data Available,
PHYS08046,Physics of Fields and Matter,Wednesday,11,10,13,00,Kings Buildings,
PHYS08046,Physics of Fields and Matter,Wednesday,14,10,16,00,Kings Buildings,
PHYS08046,Physics of Fields and Matter,Wednesday,09,00,10,50,Kings Buildings,
PHYS11041,Nuclear Physics,Friday,09,00,09,50,Kings Buildings,
PHYS11041,Nuclear Physics,Tuesday,09,00,09,50,Kings Buildings,
PHYS11041,Nuclear Physics,Wednesday,11,10,13,00,Kings Buildings,
LATI08009,Latin 1C,Friday,10,00,10,50,Central,
LATI08009,Latin 1C,Thursday,10,00,10,50,Central,
LATI08009,Latin 1C,Tuesday,10,00,10,50,Central,
LATI08009,Latin 1C,Wednesday,10,00,10,50,Central,
HIST08012,European History 1 (VS1),Wednesday,09,00,09,50,No Location Data Available,
HIST08012,European History 1 (VS1),Tuesday,09,00,09,50,Central,
HIST08012,European History 1 (VS1),Friday,09,00,09,50,No Location Data Available,
CHEE08013,Separation Processes 2,Tuesday,14,10,17,00,No Location Data Available,
CHEE08013,Separation Processes 2,Thursday,09,00,09,50,Kings Buildings,
CHEE08013,Separation Processes 2,Tuesday,09,00,09,50,Kings Buildings,
CHEE08013,Separation Processes 2,Wednesday,12,10,13,00,No Location Data Available,
CHEE08013,Separation Processes 2,Friday,14,10,17,00,No Location Data Available,
CHEE08013,Separation Processes 2,Thursday,09,00,09,50,Kings Buildings,
CHEE08013,Separation Processes 2,Tuesday,09,00,09,50,Kings Buildings,
CHEE08013,Separation Processes 2,Wednesday,11,10,13,00,Kings Buildings,
CHEE08013,Separation Processes 2,Wednesday,11,10,12,00,Kings Buildings,
INFR10049,Agent Based Systems (Level 10),Thursday,10,00,10,50,No Location Data Available,
INFR10049,Agent Based Systems (Level 10),Monday,10,00,10,50,No Location Data Available,
PSYL08007,Psychology 1: self and society (VS1),Friday,11,10,12,00,Central,
PSYL08007,Psychology 1: self and society (VS1),Wednesday,11,10,12,00,Central,
PSYL08007,Psychology 1: self and society (VS1),Monday,11,10,12,00,Central,
SCBI08003,Chemistry for Life Sciences 2,Monday,11,10,12,00,Kings Buildings,
SCBI08003,Chemistry for Life Sciences 2,Tuesday,11,10,12,00,Kings Buildings,
SCBI08003,Chemistry for Life Sciences 2,Thursday,10,00,13,00,Kings Buildings,
SCBI08003,Chemistry for Life Sciences 2,Friday,09,00,09,50,Kings Buildings,
BITE10001,Enzymology and Biological Production,Tuesday,09,00,09,50,Kings Buildings,
BITE10001,Enzymology and Biological Production,Tuesday,10,00,10,50,Kings Buildings,
SCIL08005,Sociology 1B: The Sociological Imagination: Private Troubles Public Problems,Friday,14,00,14,50,Central,
SCIL08005,Sociology 1B: The Sociological Imagination: Private Troubles Public Problems,Tuesday,14,00,14,50,Central,
GEGR10094,Eroding Landscapes: Mountains Hills and Rivers,Thursday,16,10,18,00,No Location Data Available,
GEGR10094,Eroding Landscapes: Mountains Hills and Rivers,Thursday,14,00,15,50,No Location Data Available,
BICH10006,Biochemical Techniques,Monday,11,10,12,00,Kings Buildings,
BICH10006,Biochemical Techniques,Monday,09,00,09,50,Kings Buildings,
GREE08006,Greek 1D,Monday,11,10,12,00,Central,
GREE08006,Greek 1D,Wednesday,11,10,12,00,Central,
GREE08006,Greek 1D,Tuesday,11,10,12,00,Central,
GREE08006,Greek 1D,Thursday,11,10,12,00,Central,
MATH10018,Algebra (VS2),Monday,11,10,12,00,Kings Buildings,
MATH10018,Algebra (VS2),Thursday,09,00,09,50,Kings Buildings,
MATH10018,Algebra (VS2),Thursday,13,10,13,50,Kings Buildings,
MATH10018,Algebra (VS2),Thursday,11,10,12,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Thursday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Friday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Monday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Thursday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Friday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Tuesday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Monday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Monday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Thursday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Friday,14,10,15,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Monday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Thursday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Friday,15,10,17,00,Kings Buildings,
PHYS09023,Electronic Methods in the Physical Laboratory,Tuesday,15,10,17,00,Kings Buildings,
ARHI08004,Architectural History 1B: Revivalism to Modernism,Monday,16,10,17,00,Central,
ARHI08004,Architectural History 1B: Revivalism to Modernism,Thursday,16,10,17,00,Central,
ARHI08004,Architectural History 1B: Revivalism to Modernism,Tuesday,16,10,17,00,Central,
ENLI08015,Scottish Literature 2b (VS2),Thursday,12,10,13,00,Central,
ENLI08015,Scottish Literature 2b (VS2),Wednesday,12,10,13,00,Central,
ENLI08015,Scottish Literature 2b (VS2),Monday,12,10,13,00,Central,
LATI08012,Latin 2B,Friday,10,00,10,50,Central,
LATI08012,Latin 2B,Tuesday,10,00,10,50,Central,
LATI08012,Latin 2B,Wednesday,10,00,10,50,Central,
LATI08012,Latin 2B,Thursday,10,00,10,50,Central,
SCPL08005,Politics of the Welfare State,Monday,12,10,13,00,Central,
SCPL08005,Politics of the Welfare State,Wednesday,12,10,13,00,Central,
BIME08001,Neuroscience with Pharmacology 2,Friday,14,00,17,00,Central,
BIME08001,Neuroscience with Pharmacology 2,Friday,11,10,12,00,Kings Buildings,
BIME08001,Neuroscience with Pharmacology 2,Monday,10,00,10,50,Kings Buildings,
BIME08001,Neuroscience with Pharmacology 2,Tuesday,12,10,13,00,Kings Buildings,
BIME08001,Neuroscience with Pharmacology 2,Tuesday,14,00,17,00,Central,
LASC10061,Speech Processing (Hons),Thursday,11,10,12,00,Central,
LASC10061,Speech Processing (Hons),Monday,10,00,10,50,Central,
LASC10061,Speech Processing (Hons),Thursday,10,00,10,50,Central,
MUSI08051,Listening and Musicianship 1,Friday,12,10,13,00,Central,
MUSI08051,Listening and Musicianship 1,Friday,14,00,14,50,Central,
ECNM10034,Economic Transformation in East Asia,Monday,16,10,18,00,No Location Data Available,
ECNM10034,Economic Transformation in East Asia,Monday,16,10,18,00,No Location Data Available,
LAWS08136,Introduction to Criminal Justice,Monday,12,10,13,00,No Location Data Available,
LAWS08136,Introduction to Criminal Justice,Wednesday,12,10,13,00,No Location Data Available,
BILG08016,The Green Planet 2,Thursday,14,00,17,00,No Location Data Available,
BILG08016,The Green Planet 2,Friday,12,10,13,00,No Location Data Available,
BILG08016,The Green Planet 2,Tuesday,09,00,09,50,No Location Data Available,
BILG08016,The Green Planet 2,Thursday,13,10,13,50,No Location Data Available,
EASC09019,Earth and Planetary Structure,Tuesday,11,10,12,00,No Location Data Available,
EASC09019,Earth and Planetary Structure,Friday,11,10,12,00,No Location Data Available,
PLIT08005,Democracy in Comparative Perspective,Monday,15,00,15,50,Central,
PLIT08005,Democracy in Comparative Perspective,Thursday,15,00,15,50,Central,
PHYS08035,Mathematics for Physics 1,Tuesday,13,10,13,50,No Location Data Available,
PHYS08035,Mathematics for Physics 1,Friday,13,10,13,50,No Location Data Available,
PHYS08035,Mathematics for Physics 1,Monday,14,10,16,00,Kings Buildings,
PHYS08035,Mathematics for Physics 1,Tuesday,09,00,10,50,Kings Buildings,
