description,name,status,timstas,bstoptyp,sub,crlang,atcoco,indictr,st,clrdwco,mdatti,loccode,plateco,revnum,notslang,nrthing,sublang,gplnme,bearing,plocnme,notes,gridtyp,landmrk,scnlang,comnme,locnme,indlang,crossing,town,crdatti,dwaittm,lnmlang,conmlan,stlang,lat,modif,stoptyp,easting,shconme,napco,long,aareacod,locacntr,towlang,geometry
,atcoco:,del,OTH,MKD,,,6200000001,Braid Hills Golf Course,Glenlockhart Road,,2003-11-11T00:00:00,N0078392,,,en,670177,,,E,Edinburgh,-,U,The Steils,,The Steils,Craiglockhart,en,,,2008-01-27T00:00:00,,en,en,en,55.91857,new,BCT,323542,,36235952,-3.22492,124,0,,"<Point><coordinates>-3.22492,55.91857</coordinates></Point>"
,atcoco:,act,TIP,MKD,,,6200000002,at,Torphichen Street,,2010-05-26T00:00:00,ES001737,,3,,673336,,,E,Edinburgh,,U,opp 21,,Terminus,Haymarket,en,,,2008-01-27T00:00:00,,en,en,en,55.94708,rev,BCT,324384,,36236396,-3.21234,124,0,,"<Point><coordinates>-3.21234,55.94708</coordinates></Point>"
,atcoco:,del,PPT,MKD,,,6200000003,At EICC,Morrison Street,,2007-11-28T00:00:00,N0078274,,1,,673193,,,E,Edinburgh,,U,Semple Street,,Semple Street,Fountainbridge,en,,,2008-01-27T00:00:00,,en,en,en,55.94583,rev,BCT,324561,,36236397,-3.20946,124,0,,"<Point><coordinates>-3.20946,55.94583</coordinates></Point>"
,atcoco:,del,OTH,MKD,,,6200000006,Holyrood Bowling Club,Regent Road,,2003-11-11T00:00:00,ES000581,,,en,674287,,,E,Edinburgh,-,U,Abbeymount,,Abbeymount,Calton,en,,,2008-01-27T00:00:00,,en,en,en,55.95601,new,BCT,326851,,36235897,-3.1731,124,0,,"<Point><coordinates>-3.1731,55.95601</coordinates></Point>"
,atcoco:,del,PPT,MKD,,,6200000007,At Meadowbank Retail Park,Marionville Road,,2010-01-29T00:00:00,ES002436,,2,,674421,,,E,Edinburgh,,U,Abbey Lane,,Abbey Lane,Lochend,en,,,2008-01-27T00:00:00,,en,en,en,55.95731,rev,BCT,327470,,36247679,-3.16323,124,0,,"<Point><coordinates>-3.16323,55.95731</coordinates></Point>"
,atcoco:,del,OTH,MKD,,,6200000008,Holyrood Bowling Club,Regent Road,,2003-11-11T00:00:00,ES000581,,,en,674272,,,W,Edinburgh,-,U,Abbeymount,,Abbeymount,Calton,en,,,2008-01-27T00:00:00,,en,en,en,55.95588,new,BCT,326877,,36236769,-3.17268,124,0,,"<Point><coordinates>-3.17268,55.95588</coordinates></Point>"
,atcoco:,del,OTH,MKD,,,6200000011,Edinburgh Park,Lochside Crescent,,2003-11-11T00:00:00,N0078275,,,en,671899,,,E,Edinburgh,-,U,Redheughs Avenue,,Redheughs Avenue,Edinburgh Park,en,,,2008-01-27T00:00:00,,en,en,en,55.93314,new,BCT,318071,,36236843,-3.31296,124,0,,"<Point><coordinates>-3.31296,55.93314</coordinates></Point>"
,atcoco:,del,OTH,MKD,,,6200000012,Edinburgh Park,Lochside Crescent,,2003-11-11T00:00:00,N0078275,,,en,671900,,,W,Edinburgh,-,U,Redheughs Avenue,,Redheughs Avenue,Edinburgh Park,en,,,2008-01-27T00:00:00,,en,en,en,55.93313,new,BCT,317960,,36298724,-3.31473,124,0,,"<Point><coordinates>-3.31473,55.93313</coordinates></Point>"
,atcoco:,del,OTH,MKD,,,6200000013,Edinburgh Park,Edinburgh Park,,2009-06-02T00:00:00,N0078275,,3,,672076,,,S,Edinburgh,,U,South Gyle Broadway,,South Gyle Broadway,Edinburgh Park,en,,,2008-01-27T00:00:00,,en,en,en,55.9347,rev,BCT,317906,,36236846,-3.31565,124,1,,"<Point><coordinates>-3.31565,55.9347</coordinates></Point>"
,atcoco:,del,OTH,MKD,,,6200000014,Edinburgh Park,Edinburgh Park,,2009-06-02T00:00:00,N0078275,,3,,672080,,,N,Edinburgh,,U,South Gyle Broadway,,South Gyle Broadway,Edinburgh Park,en,,,2008-01-27T00:00:00,,en,en,en,55.93473,rev,BCT,317858,,36236847,-3.31642,124,1,,"<Point><coordinates>-3.31642,55.93473</coordinates></Point>"
